passage,sentence,DOI
"All-perovskite tandem solar cells with improved grain surface passivation
The increased J sc with thicker absorber is ascribed to higher light absorption at the near-infrared range, as indicated by the external quantum efficiency (EQE) spectra in Fig 2c ", 2c ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2c By contrast, the J sc values of the control devices did not exhibit an increase when the thickness was increased from 900 to 1,200 nm, whereas the V oc and FF values (and thus PCE) dropped considerably with thickness beyond 900 nm (Extended Data Fig","By contrast, the J sc values of the control devices did not exhibit an increase when the thickness was increased from 900 to 1,200 nm, whereas the V oc and FF values (and thus PCE) dropped considerably with thickness beyond 900 nm (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
By contrast, the J sc values of the control devices did not exhibit an increase when the thickness was increased from 900 to 1,200 nm, whereas the V oc and FF values (and thus PCE) dropped considerably with thickness beyond 900 nm (Extended Data Fig 3 )", 3 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3 )This indicates that the photogenerated carrier transport limits the performance in thick devices based on the control material processing strategy (Extended Data Fig",This indicates that the photogenerated carrier transport limits the performance in thick devices based on the control material processing strategy (Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
This indicates that the photogenerated carrier transport limits the performance in thick devices based on the control material processing strategy (Extended Data Fig 4a )", 4a ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 4a )By adding CF3-PA, we increased the diffusion length to achieve higher J sc , V oc and FF values","By adding CF3-PA, we increased the diffusion length to achieve higher J sc , V oc and FF values",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
By adding CF3-PA, we increased the diffusion length to achieve higher J sc , V oc and FF valuesWe fabricated more than 200 CF3-PA mixed Pb-Sn PSCs with 1.2-μm-thick absorber; a histogram of their PCE values is shown in the inset of Fig",We fabricated more than 200 CF3-PA mixed Pb-Sn PSCs with 1.2-μm-thick absorber; a histogram of their PCE values is shown in the inset of Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We fabricated more than 200 CF3-PA mixed Pb-Sn PSCs with 1.2-μm-thick absorber; a histogram of their PCE values is shown in the inset of Fig 2d ", 2d ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2d The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statistics","The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statistics",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statisticsThe best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig","The best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig 2d  and Extended Data Fig", 2d  and Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2d  and Extended Data Fig 4b, c )"," 4b, c )",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 4b, c )Figure  2e  presents the EQE spectra of the best CF3-PA device, with the integrated J sc value of 32.5 mA cm -2 , in good agreement with the J-V characterization.","Figure  2e  presents the EQE spectra of the best CF3-PA device, with the integrated J sc value of 32.5 mA cm -2 , in good agreement with the J-V characterization.",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Figure  2e  presents the EQE spectra of the best CF3-PA device, with the integrated J sc value of 32.5 mA cm -2 , in good agreement with the J-V characterization.Characterization of Pb-Sn perovskites To understand the improvement of device performance by passivating agents, we performed structural and optoelectronic characterization of Pb-Sn perovskite films","Characterization of Pb-Sn perovskites To understand the improvement of device performance by passivating agents, we performed structural and optoelectronic characterization of Pb-Sn perovskite films",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Characterization of Pb-Sn perovskites To understand the improvement of device performance by passivating agents, we performed structural and optoelectronic characterization of Pb-Sn perovskite filmsWe first investigated the effect of passivating agents on the morphology and crystal structure of Pb-Sn perovskite films",We first investigated the effect of passivating agents on the morphology and crystal structure of Pb-Sn perovskite films,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We first investigated the effect of passivating agents on the morphology and crystal structure of Pb-Sn perovskite filmsScanning electron microscopy (SEM) images show that introducing the passivator additives did not notably affect the surface morphology (Fig",Scanning electron microscopy (SEM) images show that introducing the passivator additives did not notably affect the surface morphology (Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Scanning electron microscopy (SEM) images show that introducing the passivator additives did not notably affect the surface morphology (Fig 3a , b and Supplementary Fig"," 3a , b and Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3a , b and Supplementary Fig 6  and Extended Data Fig", 6  and Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 6  and Extended Data Fig 5a, b )"," 5a, b )",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 5a, b )The presence of passivating agents (for example, CF3-PA) in the perovskite films is indicated by X-ray photoelectron spectroscopy (XPS) measurements (Extended Data Fig","The presence of passivating agents (for example, CF3-PA) in the perovskite films is indicated by X-ray photoelectron spectroscopy (XPS) measurements (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The presence of passivating agents (for example, CF3-PA) in the perovskite films is indicated by X-ray photoelectron spectroscopy (XPS) measurements (Extended Data Fig 5c )", 5c ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 5c )The spatial distribution of the CF3-PA cations within the perovskite film was investigated using time-of-flight secondary ion mass spectrometry (ToF-SIMS, Extended Data Fig","The spatial distribution of the CF3-PA cations within the perovskite film was investigated using time-of-flight secondary ion mass spectrometry (ToF-SIMS, Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The spatial distribution of the CF3-PA cations within the perovskite film was investigated using time-of-flight secondary ion mass spectrometry (ToF-SIMS, Extended Data Fig 5d )", 5d ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 5d )This revealed that passivators were anchored on the top and bottom film surfaces as well as at the grain boundaries within the film",This revealed that passivators were anchored on the top and bottom film surfaces as well as at the grain boundaries within the film,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
This revealed that passivators were anchored on the top and bottom film surfaces as well as at the grain boundaries within the filmX-ray diffraction (XRD) patterns of the control and the films modified by the passivating agent exhibited a single three-dimensional (3D) perovskite phase without a 2D (reduced-dimensional) phase and without non-perovskite phases (Fig",X-ray diffraction (XRD) patterns of the control and the films modified by the passivating agent exhibited a single three-dimensional (3D) perovskite phase without a 2D (reduced-dimensional) phase and without non-perovskite phases (Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
X-ray diffraction (XRD) patterns of the control and the films modified by the passivating agent exhibited a single three-dimensional (3D) perovskite phase without a 2D (reduced-dimensional) phase and without non-perovskite phases (Fig 3c  and Supplementary Fig", 3c  and Supplementary Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3c  and Supplementary Fig 7 )", 7 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 7 )We found no diffraction peaks relating to 2D layered perovskites even when a large amount of CF3-PA (for example, 20 mol%) was added to the precursor solution (Supplementary Note 2 and Supplementary Fig","We found no diffraction peaks relating to 2D layered perovskites even when a large amount of CF3-PA (for example, 20 mol%) was added to the precursor solution (Supplementary Note 2 and Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We found no diffraction peaks relating to 2D layered perovskites even when a large amount of CF3-PA (for example, 20 mol%) was added to the precursor solution (Supplementary Note 2 and Supplementary Fig 8 )", 8 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 8 )The absence of 2D perovskite is beneficial for charge transport and extraction throughout the thick Pb-Sn perovskite absorber in solar cells",The absence of 2D perovskite is beneficial for charge transport and extraction throughout the thick Pb-Sn perovskite absorber in solar cells,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The absence of 2D perovskite is beneficial for charge transport and extraction throughout the thick Pb-Sn perovskite absorber in solar cellsWe also extended the structural characterization to different thicknesses of Pb-Sn perovskite films (Supplementary Note 2 and Supplementary Fig",We also extended the structural characterization to different thicknesses of Pb-Sn perovskite films (Supplementary Note 2 and Supplementary Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We also extended the structural characterization to different thicknesses of Pb-Sn perovskite films (Supplementary Note 2 and Supplementary Fig9-11)",9-11),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
9-11)The above results indicate that the introduction of a trace amount of passivating agent is not likely to change the film formation",The above results indicate that the introduction of a trace amount of passivating agent is not likely to change the film formation,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The above results indicate that the introduction of a trace amount of passivating agent is not likely to change the film formationTo examine the extent of surface Sn 2+ oxidation, we performed angle-dependent XPS measurements (Extended Data Fig","To examine the extent of surface Sn 2+ oxidation, we performed angle-dependent XPS measurements (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
To examine the extent of surface Sn 2+ oxidation, we performed angle-dependent XPS measurements (Extended Data Fig 6a )", 6a ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 6a )Spectra were recorded at electron take-off angles of 0 o , 45 o and 75 o , with the probing depth varying from approximately 6-8 nm at 0 o to 1.5-2 nm at 75 o (ref","Spectra were recorded at electron take-off angles of 0 o , 45 o and 75 o , with the probing depth varying from approximately 6-8 nm at 0 o to 1.5-2 nm at 75 o (ref",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Spectra were recorded at electron take-off angles of 0 o , 45 o and 75 o , with the probing depth varying from approximately 6-8 nm at 0 o to 1.5-2 nm at 75 o (ref 28  )", 28  ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 28  )The XPS spectra for the control film only show a Sn 4+ peak for the most surface sensitive angle at 75 o (Extended Data Fig",The XPS spectra for the control film only show a Sn 4+ peak for the most surface sensitive angle at 75 o (Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The XPS spectra for the control film only show a Sn 4+ peak for the most surface sensitive angle at 75 o (Extended Data Fig 6b ), which indicates that Sn 4+ primarily forms on the surface  28  "," 6b ), which indicates that Sn 4+ primarily forms on the surface  28  ",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 6b ), which indicates that Sn 4+ primarily forms on the surface  28  Surface Sn 2+ oxidation was successfully suppressed after anchoring of CF3-PA on the grain surfaces (Extended Data Fig",Surface Sn 2+ oxidation was successfully suppressed after anchoring of CF3-PA on the grain surfaces (Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Surface Sn 2+ oxidation was successfully suppressed after anchoring of CF3-PA on the grain surfaces (Extended Data Fig 6f ), indicating that passivation of surface defects (for example, undercoordinated Sn atoms and Sn vacancies) could retard the Sn 2+ oxidation  21, 30  "," 6f ), indicating that passivation of surface defects (for example, undercoordinated Sn atoms and Sn vacancies) could retard the Sn 2+ oxidation  21, 30  ",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 6f ), indicating that passivation of surface defects (for example, undercoordinated Sn atoms and Sn vacancies) could retard the Sn 2+ oxidation  21, 30  The three passivators were then assessed using steady-state photoluminescence (PL)",The three passivators were then assessed using steady-state photoluminescence (PL),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The three passivators were then assessed using steady-state photoluminescence (PL)The PL intensity was increased noticeably with the CF3-PA passivating agent (Fig",The PL intensity was increased noticeably with the CF3-PA passivating agent (Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The PL intensity was increased noticeably with the CF3-PA passivating agent (Fig 3d ), implying suppressed non-radiative charge recombination through the defects"," 3d ), implying suppressed non-radiative charge recombination through the defects",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3d ), implying suppressed non-radiative charge recombination through the defectsAn enhanced PL intensity was also observed in perovskite films passivated with PEA and PA, but it was not as strong as that with CF3-PA","An enhanced PL intensity was also observed in perovskite films passivated with PEA and PA, but it was not as strong as that with CF3-PA",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
An enhanced PL intensity was also observed in perovskite films passivated with PEA and PA, but it was not as strong as that with CF3-PAIn addition, we carried out time-resolved PL to study the charge-carrier dynamics (Fig","In addition, we carried out time-resolved PL to study the charge-carrier dynamics (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
In addition, we carried out time-resolved PL to study the charge-carrier dynamics (Fig 3e )", 3e ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3e )The perovskite films with passivating agents exhibited effective carrier lifetimes (CF3-PA, τ = 966 ns; PA, τ = 437 ns; PEA, τ = 365 ns) that were much longer than that of the non-passivated control film (τ = 159 ns)","The perovskite films with passivating agents exhibited effective carrier lifetimes (CF3-PA, τ = 966 ns; PA, τ = 437 ns; PEA, τ = 365 ns) that were much longer than that of the non-passivated control film (τ = 159 ns)",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The perovskite films with passivating agents exhibited effective carrier lifetimes (CF3-PA, τ = 966 ns; PA, τ = 437 ns; PEA, τ = 365 ns) that were much longer than that of the non-passivated control film (τ = 159 ns)The longer charge-carrier recombination lifetime with CF3-PA was also confirmed by transient photovoltage decay measurements (Supplementary Fig",The longer charge-carrier recombination lifetime with CF3-PA was also confirmed by transient photovoltage decay measurements (Supplementary Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The longer charge-carrier recombination lifetime with CF3-PA was also confirmed by transient photovoltage decay measurements (Supplementary Fig 12 )", 12 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 12 )We further performed femtosecond-resolved optical-pump terahertz-probe spectroscopy to obtain the carrier mobility of Pb-Sn perovskite films  [35] [36] [37]  ",We further performed femtosecond-resolved optical-pump terahertz-probe spectroscopy to obtain the carrier mobility of Pb-Sn perovskite films  [35] [36] [37]  ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We further performed femtosecond-resolved optical-pump terahertz-probe spectroscopy to obtain the carrier mobility of Pb-Sn perovskite films  [35] [36] [37]  The control and CF3-PA films exhibited similar effective d.c",The control and CF3-PA films exhibited similar effective d.c,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The control and CF3-PA films exhibited similar effective d.ccharge-carrier mobilities (μ d.c",charge-carrier mobilities (μ d.c,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
charge-carrier mobilities (μ d.c) of approximately 80 cm 2 V -1 s -1 , where μ d.c",") of approximately 80 cm 2 V -1 s -1 , where μ d.c",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
) of approximately 80 cm 2 V -1 s -1 , where μ d.cis the sum of the electron and hole mobilities (μ d.c",is the sum of the electron and hole mobilities (μ d.c,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
is the sum of the electron and hole mobilities (μ d.c= μ e + μ h , Supplementary Note 3 and Supplementary Fig","= μ e + μ h , Supplementary Note 3 and Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
= μ e + μ h , Supplementary Note 3 and Supplementary Fig 13 )", 13 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 13 )Although it is challenging to obtain directly the exact mobility of electrons versus holes, we found the mobility of the limiting carrier (μ e,h ) to be 11.7 ± 1.5 and 8.2 ± 1.2 cm 2 V -1 s -1 for the CF3-PA and control Pb-Sn perovskite films, respectively (see details in Supplementary Note 3 and Supplementary Fig","Although it is challenging to obtain directly the exact mobility of electrons versus holes, we found the mobility of the limiting carrier (μ e,h ) to be 11.7 ± 1.5 and 8.2 ± 1.2 cm 2 V -1 s -1 for the CF3-PA and control Pb-Sn perovskite films, respectively (see details in Supplementary Note 3 and Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Although it is challenging to obtain directly the exact mobility of electrons versus holes, we found the mobility of the limiting carrier (μ e,h ) to be 11.7 ± 1.5 and 8.2 ± 1.2 cm 2 V -1 s -1 for the CF3-PA and control Pb-Sn perovskite films, respectively (see details in Supplementary Note 3 and Supplementary Fig 14 )", 14 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 14 )Because of the longer carrier lifetimes, the diffusion length (L d ) of the CF3-PA passivated films was increased threefold when compared to that of the control films (5.4 μm versus 1.8 μm) (Fig","Because of the longer carrier lifetimes, the diffusion length (L d ) of the CF3-PA passivated films was increased threefold when compared to that of the control films (5.4 μm versus 1.8 μm) (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Because of the longer carrier lifetimes, the diffusion length (L d ) of the CF3-PA passivated films was increased threefold when compared to that of the control films (5.4 μm versus 1.8 μm) (Fig 3f )", 3f ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3f )Overall, device performance and film characterization demonstrate improved grain surface passivation in mixed Pb-Sn perovskite films with CF3-PA","Overall, device performance and film characterization demonstrate improved grain surface passivation in mixed Pb-Sn perovskite films with CF3-PA",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Overall, device performance and film characterization demonstrate improved grain surface passivation in mixed Pb-Sn perovskite films with CF3-PAThe DFT studies suggest one possible mechanism for the origin of the improvement: the higher surface adsorption of the passivating agent enables better passivation in perovskite films.",The DFT studies suggest one possible mechanism for the origin of the improvement: the higher surface adsorption of the passivating agent enables better passivation in perovskite films.,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The DFT studies suggest one possible mechanism for the origin of the improvement: the higher surface adsorption of the passivating agent enables better passivation in perovskite films.Performance and stability of tandem solar cells We fabricated monolithic all-perovskite tandem solar cells using the optimized NBG perovskite layers described above (see details in the Methods)",Performance and stability of tandem solar cells We fabricated monolithic all-perovskite tandem solar cells using the optimized NBG perovskite layers described above (see details in the Methods),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Performance and stability of tandem solar cells We fabricated monolithic all-perovskite tandem solar cells using the optimized NBG perovskite layers described above (see details in the Methods)The WBG solar cells exhibited a PCE of 17.3%, with a V oc of 1.22 V, a J sc of 17.4 mA cm -2 and a FF of 81.6% (Extended Data Fig","The WBG solar cells exhibited a PCE of 17.3%, with a V oc of 1.22 V, a J sc of 17.4 mA cm -2 and a FF of 81.6% (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The WBG solar cells exhibited a PCE of 17.3%, with a V oc of 1.22 V, a J sc of 17.4 mA cm -2 and a FF of 81.6% (Extended Data Fig 7 )", 7 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 7 )The NBG perovskite films were fabricated using the CF3-PA additive",The NBG perovskite films were fabricated using the CF3-PA additive,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The NBG perovskite films were fabricated using the CF3-PA additiveThe thicknesses of the WBG and NBG absorber layers for the front and back subcells were optimized to be approximately 380 and 1,200 nm (Fig","The thicknesses of the WBG and NBG absorber layers for the front and back subcells were optimized to be approximately 380 and 1,200 nm (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The thicknesses of the WBG and NBG absorber layers for the front and back subcells were optimized to be approximately 380 and 1,200 nm (Fig 4a ), respectively, to obtain a high matched current density between the subcells"," 4a ), respectively, to obtain a high matched current density between the subcells",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 4a ), respectively, to obtain a high matched current density between the subcellsFigure  4b  presents the J-V curves of all-perovskite tandem devices with various thicknesses (750, 900 and 1,200 nm) for the NBG absorber; the corresponding PV parameters are summarized in Supplementary Table  3 ","Figure  4b  presents the J-V curves of all-perovskite tandem devices with various thicknesses (750, 900 and 1,200 nm) for the NBG absorber; the corresponding PV parameters are summarized in Supplementary Table  3 ",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Figure  4b  presents the J-V curves of all-perovskite tandem devices with various thicknesses (750, 900 and 1,200 nm) for the NBG absorber; the corresponding PV parameters are summarized in Supplementary Table  3 The J sc values, as determined from the J-V curves, were increased from 15.4 to 16.5 mA cm -2 when the thickness of the NBG perovskite absorber increased from 750 to 1,200 nm (the WBG perovskite thickness was kept at approximately 380 nm)","The J sc values, as determined from the J-V curves, were increased from 15.4 to 16.5 mA cm -2 when the thickness of the NBG perovskite absorber increased from 750 to 1,200 nm (the WBG perovskite thickness was kept at approximately 380 nm)",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The J sc values, as determined from the J-V curves, were increased from 15.4 to 16.5 mA cm -2 when the thickness of the NBG perovskite absorber increased from 750 to 1,200 nm (the WBG perovskite thickness was kept at approximately 380 nm)Correspondingly, the PCE was increased from 25.0% for the 750-nm-thick NBG subcell to 26.4% for the 1.2-μm-thick NBG subcell","Correspondingly, the PCE was increased from 25.0% for the 750-nm-thick NBG subcell to 26.4% for the 1.2-μm-thick NBG subcell",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Correspondingly, the PCE was increased from 25.0% for the 750-nm-thick NBG subcell to 26.4% for the 1.2-μm-thick NBG subcellThe higher J sc is due mainly to the higher spectral response (light absorption) in the back subcell, as shown in Fig","The higher J sc is due mainly to the higher spectral response (light absorption) in the back subcell, as shown in Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The higher J sc is due mainly to the higher spectral response (light absorption) in the back subcell, as shown in Fig 4c  and Supplementary Fig", 4c  and Supplementary Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 4c  and Supplementary Fig 15 ", 15 ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 15 We fabricated 96 all-perovskite tandem solar cells (with aperture area of 0.049 cm 2 ) with 1.2-μm-thick NBG subcells; the devices had an average PCE of 25.6 ± 0.5% (Extended Data Fig",We fabricated 96 all-perovskite tandem solar cells (with aperture area of 0.049 cm 2 ) with 1.2-μm-thick NBG subcells; the devices had an average PCE of 25.6 ± 0.5% (Extended Data Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We fabricated 96 all-perovskite tandem solar cells (with aperture area of 0.049 cm 2 ) with 1.2-μm-thick NBG subcells; the devices had an average PCE of 25.6 ± 0.5% (Extended Data Fig 8a )", 8a ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 8a )Figure  4d  shows the J-V curves of the best-performing tandem device measured from both reverse and forward scans, showing very minor hysteresis","Figure  4d  shows the J-V curves of the best-performing tandem device measured from both reverse and forward scans, showing very minor hysteresis",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Figure  4d  shows the J-V curves of the best-performing tandem device measured from both reverse and forward scans, showing very minor hysteresis  d, e, ) and EQE and total absorptance (1-R) (e) curves of the best tandem device (with aperture area of 0.049 cm 2 ) with approximately 1.2-μm-thick Pb-Sn perovskite absorber layer","  d, e, ) and EQE and total absorptance (1-R) (e) curves of the best tandem device (with aperture area of 0.049 cm 2 ) with approximately 1.2-μm-thick Pb-Sn perovskite absorber layer",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
  d, e, ) and EQE and total absorptance (1-R) (e) curves of the best tandem device (with aperture area of 0.049 cm 2 ) with approximately 1.2-μm-thick Pb-Sn perovskite absorber layerR is the primary optical reflectance measured from the front glass side",R is the primary optical reflectance measured from the front glass side,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
R is the primary optical reflectance measured from the front glass sidef, J-V curve of a large-area tandem device (aperture area = 1.05 cm 2 )","f, J-V curve of a large-area tandem device (aperture area = 1.05 cm 2 )",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
f, J-V curve of a large-area tandem device (aperture area = 1.05 cm 2 )g, Continuous MPP tracking of the encapsulated CF3-PA and control tandem solar cells (with aperture area of 0.049 cm 2 ) under simulated 1 Sun illumination (equivalent to AM1.5G, 100 mW cm -2 , multicolor LED simulator) in ambient air with a humidity of 30-50%","g, Continuous MPP tracking of the encapsulated CF3-PA and control tandem solar cells (with aperture area of 0.049 cm 2 ) under simulated 1 Sun illumination (equivalent to AM1.5G, 100 mW cm -2 , multicolor LED simulator) in ambient air with a humidity of 30-50%",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
g, Continuous MPP tracking of the encapsulated CF3-PA and control tandem solar cells (with aperture area of 0.049 cm 2 ) under simulated 1 Sun illumination (equivalent to AM1.5G, 100 mW cm -2 , multicolor LED simulator) in ambient air with a humidity of 30-50%The CF3-PA and control tandem devices had initial PCEs of 25.6% and 24.3% measured under a two-lamp simulator, respectively","The CF3-PA and control tandem devices had initial PCEs of 25.6% and 24.3% measured under a two-lamp simulator, respectively",https://doi.org/10.1038/s41586-021-04372-8
