,perovskite_composition,passivating_molecule
2182,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),pentanamidine hydrochloride
2183,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2184,3D/0D perovskite,sulfonyl fluoride-functionalized phenethylammonium salt
2185,3D/0D perovskite,poly(methyl methacrylate)
2186,FA1-xMAxPbI3Br0.13,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2187,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,n-butylamine acetate
2188,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,n-butylammonium bromide (BABr)
2189,FA0.8Cs0.2Pb0.5Sn0.5I3,"N,N-dimethyl-1,3-propane diammonium diiodide"
2190,Cs0.1FA0.9PbI3,Choline chloride
2191,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2192,FA0.9Cs0.1PbI3,hexyltrimethylammonium bromide
2193,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,anisole
2194,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,EDAI2
2195,CH3NH3PbI3,CF3PEAI
2196,"MAPbCl3, MAPbBr3, MAPbI3",allylammonium
2197,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,benzylhydrazine (BHC)
2198,formamidinium lead iodide (FAI) based compound,Cl-cPP and Cl-bSO
2199,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,methylamine
2200,FA0.83MA0.17Pb(I0.6Br0.4)3,allylammonium
2201,3D/0D perovskite,formamidine acetate
2202,FA0.85Cs0.15PbI2.85I3,phenylethylammonium iodide
2203,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,Oleylammonium iodide
2204,formamidinium lead iodide,4-trifluoromethyl-phenylammonium
2205,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,poly(4-vinylpyridine)
2206,"MAPbCl3, MAPbBr3, MAPbI3",cross-linked polymer (CLP)
2207,FA0.83Cs0.17PbI3,ZrL3
2208,(FAPbI3)1-x(MC)x,AZO/SnOx
2209,formamidinium lead iodide,EDAI2
2210,FA0.83MA0.17Pb(I0.6Br0.4)3,cross-linked polymer (CLP)
2211,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,DTB(3%DEG)
2212,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
2213,Cs0.15FA0.85MA0.05PbI3,butylamine
2214,FA0.98Cs0.02PbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2215,CsPbI3-xBrx,ferrocenyl-bis-thiophene-2-carboxylate
2216,CsPbI3-xBrx,formamidinium
2217,CH3NH3PbI3,mixed cations of MDA and Cs
2218,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2219,FA0.8Cs0.2Pb(I0.7Br0.3)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
2220,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2221,"MAPbCl3, MAPbBr3, MAPbI3",formamidinium lead iodide (FAPbI3)
2222,phase-pure quantum wells,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2223,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,NaF
2224,Cs0.15FA0.85MA0.05PbI3,poly(4-vinylpyridine)
2225,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,Choline chloride
2226,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,4-chlorophenylethylammonium iodide
2227,FA0.83MA0.17Pb(I0.6Br0.4)3,formamidinium lead iodide (FAPbI3)
2228,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,Cs2PbI2Cl2
2229,FA(MA)PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2230,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,piperazinium iodide
2231,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2232,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,phenylethylammonium iodide
2233,PEA2(CH3NH3)2Pb2I7,NaF
2234,MAPbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2235,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2236,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,methylammonium chloride
2237,Cs0.15FA0.85MA0.1PbI2.55Br0.45,CB-NH2
2238,Cs0.1FA0.9PbI2.55Br0.45,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2239,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,n-butylammonium bromide (BABr)
2240,phase-pure quantum wells,NH4Cl
2241,FA0.83Cs0.17PbI3,EDAI2
2242,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
2243,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2244,Cs0.12FA0.8MA0.08PbI1.8Br1.2,poly(4-vinylpyridine)
2245,Cs0.17FA0.83Pb(I0.6Br0.4)3,Al2O3
2246,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,4-vinylbenzylammonium bromide
2247,formamidinium-based,ortho-(phenylene)di(ethylammonium) iodide
2248,3D/CLP/2D perovskite heterostructure,phenethylammonium iodide (PEAI)
2249,CsPbI3-xBrx,ZrL3
2250,FA(MA)PbI3,Cl-cPP and Cl-bSO
2251,MA0.07FA0.93PbI3,PEA2ZnX4
2252,(FAPbI3)0.95(MAPbBr3)0.05,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2253,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2254,FA0.9Cs0.1PbI3,4-fluoroaniline
2255,FA0.85Cs0.15PbI2.85I3,sodium thioglycolate
2256,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,4-tert-butyl-benzylammonium iodide
2257,FAPbI3,sulfonyl fluoride-functionalized phenethylammonium salt
2258,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,(BA)2PbI4
2259,FAPbI3,poly(methyl methacrylate)
2260,Cs0.15FA0.85MA0.1PbI2.55Br0.45,allylammonium (ALA)
2261,Cs0.05MA0.05FA0.90PbI3,n-hexyl trimethyl ammonium bromide
2262,Cs0.1FA0.9PbI3,CF3PEAI2D
2263,Cs0.05(MA0.1FA0.85PbI3)3,PDAI2 and 3MTPAI
2264,FA0.95MA0.05Pb(I0.92Br0.08)3,2-aminoindan hydrochloride
2265,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,CF3PEAI
2266,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,LiF
2267,FA0.8Cs0.2Pb(I0.7Br0.3)3,AZO/SnOx
2268,FA0.95Cs0.05PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2269,FA0.85Cs0.15PbI2.85I3,2CF3-phenethylammonium iodide
2270,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,n-hexyl trimethyl ammonium bromide
2271,FA0.83Cs0.17PbI3,Cs2PbI2Cl2
2272,FA0.9Cs0.1PbI3,PSP
2273,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),none
2274,FA1-xMAxPbI3Br0.13,EDTA
2275,formamidinium lead iodide,4-tert-butyl-benzylammonium iodide
2276,FAPbI3,formamidine acetate
2277,"MAPbCl3, MAPbBr3, MAPbI3",4-guanidinobenzoic acid hydrochloride (GBAC)
2278,Cs0.17FA0.83Pb(I0.6Br0.4)3,"PEAI, Cl-PEAI, F-PEAI"
2279,FA0.83MA0.17Pb(I0.6Br0.4)3,4-guanidinobenzoic acid hydrochloride (GBAC)
2280,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,sodium thioglycolate
2281,FA0.85MA0.1Cs0.05PbI2.9Br0.1,4-chlorophenylethylammonium iodide
2282,CsPbI3-xBrx,EDAI2
2283,CsFAMAPbI3,phenethylammonium iodide (PEAI)
2284,(FAPbI3)0.97(MAPbBr3)0.03,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2285,FA0.98Cs0.02PbI3,ortho-(phenylene)di(ethylammonium) iodide
2286,Cs0.05(MA0.1FA0.85PbI3)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2287,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,n-hexyl trimethyl ammonium bromide
2288,Cs0.05(MA0.1FA0.85)PbI3,4-chlorophenylethylammonium iodide
2289,MA0.07FA0.93PbI3,(BA)2PbI4
2290,Cs0.15FA0.85MA0.1PbI2.55Br0.45,3F-PEA
2291,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),n-hexylammonium bromide and n-octylammonium bromide
2292,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,pentanamidine hydrochloride
2293,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,2CF3-phenethylammonium iodide
2294,FA0.83Cs0.17PbI3,4-tert-butyl-benzylammonium iodide
2295,Cs0.15FA0.85MA0.1PbI2.55Br0.45,4-vinylbenzylammonium bromide
2296,FA0.85MA0.15PbI3,PEA2ZnX4
2297,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,oxalic acid
2298,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,n-hexylammonium bromide and n-octylammonium bromide
2299,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2300,FA0.82Cs0.13MA0.05PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
2301,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,cross-linked polymer (CLP)
2302,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,2-aminoindan hydrochloride
2303,MAPbI3,butylamine
2304,CsPbI3-xBrx,Cs2PbI2Cl2
2305,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,phenethylammonium iodide (PEAI)
2306,Cs0.05FA0.9MA0.05PbI2.74Br0.26,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2307,MA0.07FA0.93PbI3,(PbI2)2RbCl
2308,FA1-xMAxPbI3Br0.13,hexafluorobenzene
2309,formamidinium lead iodide,oxalic acid
2310,Cs0.05FA0.81MA0.14PbI2.55Br0.45,EDTA
2311,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,allylammonium
2312,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2313,Cs0.15FA0.85MA0.05PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2314,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,formamidinium lead iodide (FAPbI3)
2315,MA0.07FA0.93PbI3,pentanamidine hydrochloride
2316,Cs0.1FA0.9PbI2.55Br0.45,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2317,formamidinium lead iodide,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2318,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,Chlorine-capped TiO2
2319,Cs0.05(MA0.1FA0.85PbI3)3,CF3PEAI
2320,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,hexyltrimethylammonium bromide
2321,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,CB-NH2
2322,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,2D perovskite
2323,PEA2(CH3NH3)2Pb2I7,allylammonium
2324,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,LiF
2325,formamidinium lead iodide (FAPbI3),Cs2PbI2Cl2
2326,formamidinium lead iodide (FAI) based compound,octylammonium iodide
2327,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,hexyltrimethylammonium bromide
2328,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,Oleylammonium iodide
2329,MA0.07FA0.93PbI3,2-aminoindan hydrochloride
2330,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,LiF
2331,(FAPbI3)0.95(MAPbBr3)0.05,PEA2ZnX4
2332,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,isopropylammonium chloride
2333,CsPbI3-xBrx,4-tert-butyl-benzylammonium iodide
2334,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,4-fluoroaniline
2335,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,Cl-cPP and Cl-bSO
2336,FA0.83Cs0.17PbI3,oxalic acid
2337,"MAPbCl3, MAPbBr3, MAPbI3",Al2O3
2338,FA0.83MA0.17Pb(I0.6Br0.4)3,FA0.83Cs0.17Pb0.5Sn0.5I3
2339,Cs0.05(MA0.1FA0.85PbI3)3,mixed cations of MDA and Cs
2340,phase-pure quantum wells,(BA)2PbI4
2341,FA0.83MA0.17Pb(I0.6Br0.4)3,Al2O3
2342,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,allylammonium (ALA)
2343,FA0.95Cs0.05PbI3,2D perovskite
2344,FA1-xMAxPbI3Br0.13,4-ethyl-1H-pyrrole-2-carboxylic acid
2345,formamidinium lead iodide (FAI) based compound,Spiro-mF
2346,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,methylamine
2347,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2348,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,PSP
2349,MA0.7FA0.3PbI3,3F-PEA
2350,Cs0.05FA0.81MA0.14PbI2.55Br0.45,hexafluorobenzene
2351,formamidinium lead iodide (FAPbI3),CF3PEAI2D
2352,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),formamidinium
2353,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,3F-PEA
2354,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,DTB(3%DEG)
2355,FAPbI3:0.95MAPbBr3:0.05,CB-NH2
2356,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,TiOxNy
2357,FA0.82Cs0.13MA0.05PbI3,n-butylammonium bromide (BABr)
2358,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,ferrocenyl-bis-thiophene-2-carboxylate
2359,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,formamidinium
2360,phase-pure quantum wells,(PbI2)2RbCl
2361,formamidinium lead iodide (FAI) based compound,CsMAFA-8
2362,FA0.95Cs0.05PbI3,methylamine
2363,FA0.9Cs0.1PbI3,piperazinium iodide
2364,phase-pure quantum wells,pentanamidine hydrochloride
2365,FA0.83MA0.17PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2366,FA(MA)PbI3,octylammonium iodide
2367,"MAPbCl3, MAPbBr3, MAPbI3",n-butylamine acetate
2368,CsPbI3-xBrx,oxalic acid
2369,CH3NH3PbI3,cross-linked polymer (CLP)
2370,FAPbI3:0.95MAPbBr3:0.05,allylammonium (ALA)
2371,FA0.83MA0.17Pb(I0.6Br0.4)3,n-butylamine acetate
2372,FA0.85Cs0.15PbI2.85I3,phenethylammonium iodide
2373,FA0.95Cs0.05PbI3,DTB(3%DEG)
2374,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,2D perovskite
2375,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,4-vinylbenzylammonium bromide
2376,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,4-fluoroaniline
2377,FA0.95MA0.05Pb(I0.92Br0.08)3,formamidinium formate
2378,FA0.83MA0.17Pb(I0.6Br0.4)3,anisole
2379,phase-pure quantum wells,2-aminoindan hydrochloride
2380,FA0.85Cs0.15PbI2.85I3,cyclohexylmethylammonium iodide
2381,FA0.83Cs0.17PbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2382,Cs0.05FA0.81MA0.14PbI2.55Br0.45,4-ethyl-1H-pyrrole-2-carboxylic acid
2383,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,piperazinium iodide
2384,3D/CLP/2D perovskite heterostructure,formamidine acetate
2385,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2386,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,4-vinylbenzylamine
2387,FA(MA)PbI3,Spiro-mF
2388,FA0.85Cs0.15PbI2.85I3,azetidinium iodide
2389,Cs0.15FA0.85MA0.05PbI3,2D perovskite
2390,MA0.07FA0.93PbI3,none
2391,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,ZrL3
2392,(FAPbI3)0.95(MAPbBr3)0.05,(PbI2)2RbCl
2393,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,octylammonium iodide
2394,FA0.85MA0.15PbI3,methylammonium chloride
2395,MAPbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2396,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,PSP
2397,Cs0.2FA0.8Pb(I0.6Br0.4)3,phenethylammonium iodide (PEAI)
2398,"MAPbCl3, MAPbBr3, MAPbI3","N,N-dimethyl-1,3-propane diammonium diiodide"
2399,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,phenethylammonium iodide
2400,FA0.82Cs0.13MA0.05PbI3,methylammonium chloride
2401,CsFAMAPbI3,poly(methyl methacrylate)
2402,FA0.83MA0.17Pb(I0.6Br0.4)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
2403,MAPbI3,"1,3-propane diammonium iodide"
2404,formamidinium-based,PDAI2 and 3MTPAI
2405,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,NaF
2406,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,methylamine
2407,(FAPbI3)1-x(MC)x,n-hexyl trimethyl ammonium bromide
2408,FAPbI3:0.95MAPbBr3:0.05,3F-PEA
2409,PEA2(CH3NH3)2Pb2I7,octylammonium iodide
2410,FA0.83MA0.17PbI3,CF3PEAI
2411,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),CB-NH2
2412,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,ferrocenyl-bis-thiophene-2-carboxylate
2413,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,ortho-(phenylene)di(ethylammonium) iodide
2414,Cs0.12FA0.8MA0.08PbI1.8Br1.2,2D perovskite
2415,FA(MA)PbI3,CsMAFA-8
2416,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,cyclohexylmethylammonium iodide
2417,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,DTB(3%DEG)
2418,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,azetidinium iodide
2419,Cs0.15FA0.85MA0.05PbI3,methylamine
2420,CsFAMAPbI3,formamidine acetate
2421,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,EDAI2
2422,Cs0.05MA0.05FA0.90PbI3,4-chlorophenylethylammonium iodide
2423,FA0.95MA0.05Pb(I0.92Br0.08)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2424,CsPbI3-xBrx,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2425,Cs0.15FA0.85MA0.05PbI3,DTB(3%DEG)
2426,FA0.83MA0.17PbI3,mixed cations of MDA and Cs
2427,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,n-butylammonium bromide (BABr)
2428,CH3NH3PbI3,TiOxNy
2429,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,4-chlorophenylethylammonium iodide
2430,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,lead sulfate
2431,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,formamidinium formate
2432,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),allylammonium (ALA)
2433,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,poly(methyl methacrylate)
2434,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,Al2O3
2435,formamidinium lead triiodide (FAPbI3),phenethylammonium iodide (PEAI)
2436,FA0.95MA0.05Pb(I0.92Br0.08)3,benzylhydrazine (BHC)
2437,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,cross-linked polymer (CLP)
2438,Cs0.12FA0.8MA0.08PbI1.8Br1.2,methylamine
2439,FA0.98Cs0.02PbI3,PDAI2 and 3MTPAI
2440,FA0.8Cs0.2Pb0.5Sn0.5I3,hexyltrimethylammonium bromide
2441,Cs0.15FA0.85MA0.1PbI2.55Br0.45,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2442,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,2-TMAI
2443,3D/0D perovskite,lead sulfate
2444,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),Cs2PbI2Cl2
2445,FA0.85MA0.15PbI3,none
2446,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,phenethylammonium iodide (PEAI)
2447,3D/CLP/2D perovskite heterostructure,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2448,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,ortho-(phenylene)di(ethylammonium) iodide
2449,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,hexyltrimethylammonium bromide
2450,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,FA0.83Cs0.17Pb0.5Sn0.5I3
2451,MA0.7FA0.3PbI3,benzene
2452,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,benzene
2453,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,LiF
2454,formamidinium lead iodide (FAPbI3),"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2455,3D/0D perovskite,2-TMAI
2456,FAMAPbI3 and MAPbI3 layers (two-step method),TiOxNy
2457,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,formamidine acetate
2458,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2459,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,Cs2PbI2Cl2
2460,FA0.8Cs0.2Pb(I0.7Br0.3)3,n-hexyl trimethyl ammonium bromide
2461,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,piperazinium iodide
2462,PEA2(CH3NH3)2Pb2I7,FA0.83Cs0.17Pb0.5Sn0.5I3
2463,FA0.95MA0.05Pb(I0.92Br0.08)3,Choline chloride
2464,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,4-vinylbenzylamine
2465,MA0.07FA0.93PbI3,formamidinium formate
2466,FA0.85MA0.15PbI3,n-hexylammonium bromide and n-octylammonium bromide
2467,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),3F-PEA
2468,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,"PEAI, Cl-PEAI, F-PEAI"
2469,Cs0.05FA0.95PbI3,phenethylammonium iodide (PEAI)
2470,Cs0.15FA0.85MA0.05PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2471,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,hexyltrimethylammonium bromide
2472,FA0.98Cs0.02PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2473,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,4-trifluoromethyl-phenylammonium
2474,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,4-vinylbenzylamine
2475,Cs0.15FA0.85PbI2.55Br0.45,Chlorine-capped TiO2
2476,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),CF3PEAI2D
2477,formamidinium-based,CF3PEAI
2478,Cs0.15FA0.85PbI2.55Br0.45,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2479,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,n-hexyl trimethyl ammonium bromide
2480,CsFAMAPbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2481,FA0.15MA0.85PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
2482,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,phenethylammonium iodide (PEAI)
2483,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2484,3D/0D perovskite,4-trifluoromethyl-phenylammonium
2485,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),CB-NH2
2486,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,Spiro-mF
2487,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,methylammonium chloride
2488,Cs0.15FA0.85PbI2.55Br0.45,benzylhydrazine (BHC)
2489,(FAPbI3)0.95(MAPbBr3)0.05,none
2490,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,4-tert-butyl-benzylammonium iodide
2491,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,azetidinium iodide
2492,MAPbI3,2D perovskite
2493,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,benzylhydrazine (BHC)
2494,formamidinium lead iodide (FAI) based compound,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
2495,Cs0.15FA0.85PbI2.55Br0.45,isopropylammonium chloride
2496,FA0.85MA0.1Cs0.05PbI2.9Br0.1,n-butylammonium bromide (BABr)
