Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator,passivator_smiles
538,FA0.75MA0.25SnI3,C60,NIP,BCP,ZnI2,10.2,0.61,12.8,0.72,"{'test_name': 'shelf stability', 'temperature': None, 'time': 28, 'humidity': None, 'retained_percentage_cont': 69, 'retained_percentage_tret': 77}",,,,,,,,,,,,,,,,,,,,,,,,,,Zinc iodide,[I-].[Zn+2].[I-]
539,FAPbI3,SnO2,NIP,spiro-OMeTAD,D-Glutamic acid (Glu),11.23,1.08,12.97,1.09,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 10, 'humidity': 20, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,16.37,72.13,,,,,,,,,,,,,,,,,,,,,,D-Glutamic acid,N[C@H](CCC(=O)O)C(=O)O
540,,,,,"3,4-DpACl",,,21.17,1.17,"{'test_name': 'Humidity stability', 'temperature': 35, 'time': 1600, 'humidity': 40, 'retained_percentage_cont': 83, 'retained_percentage_tret': 81.6}",,,,,,,,,,,,,,,,,,,,,,,,,,3-chloro-4-(propylamino)aniline,ClC=1C=C(N)C=CC1NCCC
542,,,,,Pyridinium Tetrafluoroborate (PyBF4),20.9,1.05,22.7,1.08,"{'test_name': 'TRPL', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 67.7}",,,,,,,,,,,,,,,,,,,,,,,,,,Pyridinium tetrafluoroborate,F[B-](F)(F)F.[NH+]1=CC=CC=C1
545,,,,,Aminoacetamide hydrochloride (AAH),,,,,"{'test_name': 'Stability test under encapsulation', 'temperature': 50, 'time': 330, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 90}","{'test_name': 'Moisture stability test', 'temperature': 85, 'time': 2000, 'humidity': 85, 'retained_percentage_cont': None, 'retained_percentage_tret': 86}",,,,"{'test_name': 'Damp-heat test', 'temperature': 85, 'time': 200, 'humidity': 85, 'retained_percentage_cont': None, 'retained_percentage_tret': 86}","{'test_name': 'Thermal cycling test', 'temperature': None, 'time': 200, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 86}",,,,,,,,,,,,,,,,,,,,Aminoacetamide hydrochloride,Cl.NCC(=O)N
550,,,,,2-aminoethanethiol (AET),,,,,"{'test_name': 'Moisture and UV exposure test', 'temperature': 120, 'time': 60, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Aminoethanethiol,NCCS
553,,,,,2-fluoroisonicotinic acid,17.13,,20.92,,"{'test_name': 'stability', 'temperature': 25, 'time': 500, 'humidity': 65, 'retained_percentage_cont': 62, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,2-fluoroisonicotinic acid,FC=1C=C(C(=O)O)C=CN1
554,CsPbI2Br,,,,dibenzoylmethane (DBM),11.72,1.12,13.46,1.189,"{'test_name': 'aging', 'temperature': 25, 'time': 500, 'humidity': 25, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}","{'test_name': 'heating', 'temperature': 65, 'time': 500, 'humidity': None, 'retained_percentage_cont': 28, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,,,,,Dibenzoylmethane,C(C1=CC=CC=C1)(=O)CC(C1=CC=CC=C1)=O
555,,,,,formamidine acetate (FAAc),22.12,,24.41,,"{'test_name': 'stability', 'temperature': 'dry air', 'time': 2000, 'humidity': None, 'retained_percentage_cont': 96, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,formamidine acetate,C(C)(=O)O.C(=N)N
557,,,,,Methylamine (MAI),26.0,1.2,21.0,1.1,"{'test_name': 'In situ conversion', 'temperature': 100, 'time': 1, 'humidity': None, 'retained_percentage_cont': 85, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium iodide,[I-].C[NH3+]
560,CsPbI3,P3HT,,P3HT,n-hexyl trimethyl ammonium bromide (HTAB),12.9,1.07,15.8,1.14,"{'test_name': None, 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': 12.9, 'retained_percentage_tret': 15.8}",,,,,,,,,,,,,,,,,,,,,,,,,,n-hexyltrimethylammonium bromide,[Br-].C(CCCCC)[N+](C)(C)C
562,PbI2,SnO2,n-i-p,Spiro-OMeTAD,Trisodium citrate,18.94,1.115,21.17,1.178,"{'test_name': 'ISOS-L', 'temperature': 22, 'time': 2500, 'humidity': 35, 'retained_percentage_cont': 81, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,trisodium citrate,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-].[Na+].[Na+].[Na+]
565,CsBr/PbBr2,,,,Triphenylphosphine oxide (TPPO),,,,,"{'test_name': None, 'temperature': 100, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 45}",,,,,,,,,,,,,,,,,,,,,,,,,,Triphenylphosphine oxide,C1(=CC=CC=C1)P(C1=CC=CC=C1)(C1=CC=CC=C1)=O
566,,,,,RbCl,,,,,"{'test_name': 'Long-term stability', 'temperature': 3100, 'time': '3100 hours', 'humidity': None, 'retained_percentage_cont': 82, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 70, 'time': '72 hours', 'humidity': None, 'retained_percentage_cont': 58, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,rubidium chloride,[Cl-].[Rb+]
572,,,,,4-aminophenyl sulfone (APS),21.26,1.11,23.03,1.14,"{'test_name': 'Environmental stability at room temperature', 'temperature': 30, 'time': 1000, 'humidity': '30% relative humidity', 'retained_percentage_cont': 93, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability in inert environment', 'temperature': 70, 'time': 200, 'humidity': 'dry atmosphere', 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,4-aminophenylsulfonylmethane,NC1=CC=C(C=C1)S(=O)(=O)C
573,,,,,"Phosphonic acid-based SAMs (e.g., (2-(9H-carbazol-9-yl)ethyl)phosphonic acid or MeO-2PACz)",,,,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 'Indoor stability assessment following ISOS-L protocol (reported during the year 2024 only)', 'humidity': None, 'retained_percentage_cont': 'Above 90%', 'retained_percentage_tret': 'Above 90%'}",,,,,,,,,,,,,,,,,,,,,,,,,,2-(9H-Carbazol-9-yl)ethylphosphonic acid,C1=CC=CC=2C3=CC=CC=C3N(C12)CCP(O)(O)=O
576,,,,,6-(Trifluoromethyl)pyridine-3-amidinehydrochloride,21.02,1.112,23.17,1.169,"{'test_name': 'ISOS-L-1I', 'temperature': None, 'time': 400, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 90}",,,,84.1,,,,,,,,,,,,,,,,,,,,,,6-(Trifluoromethyl)pyridine-3-amidine hydrochloride,Cl.FC(C1=CC=C(C=N1)C(=N)N)(F)F
579,FACsPbI3,MeO-2PACz,PIN,PCBM,Coumarin dye (7-diethylaminobenzopyran-2-one),17.06,1.03,20.85,1.06,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 2000, 'humidity': 55, 'retained_percentage_cont': 70, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,7-diethylaminobenzopyran-2-one,C(C)N(C1=CC2=C(C=CC(O2)=O)C=C1)CC
580,,,,,Selenium (Se),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selenium,[Se]
583,FA 0.8 MA 0.2 Sn 0.5 Pb 0.5 I3,PCBM,,PEDOT:PSS,LiF_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium fluoride,[F-].[Li+]
584,MA 1Àx FA x PbI 3,ITO/2PACz,p-i-n,C60/BCP/Ag,Oleylamine (OAmI),14.0,991.8,19.7,1115.5,"{'test_name': 'Thermal stability test', 'temperature': 85, 'time': 1000, 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 85, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,oleylamine,C(CCCCCCC\C=C/CCCCCCCC)N
586,,,,,Dimethyl sulfoxide (DMSO),,,,,"{'test_name': 'ISOS-LT', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,Dimethyl sulfoxide,CS(=O)C
591,,,,,Alanine (Ala),,,,,"{'test_name': 'Ambient air', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 82, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 350, 'humidity': None, 'retained_percentage_cont': 61, 'retained_percentage_tret': None}",,,,"{'test_name': 'Bending durability', 'temperature': None, 'time': 5000, 'humidity': None, 'retained_percentage_cont': 71, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,2-aminopropanoic acid,NC(C(=O)O)C
592,Cs0.1 FA0.6 MA0.3 Pb0.5 Sn0.5 I3,C60 and BCP,p-i-n,PEDOT:PSS,Glycine hydrochloride (GlyHCl),,,17.4,0.81,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 10, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 17.4}",,,,,,,,,,,,,,,,,,,,,,,,,,glycine hydrochloride,Cl.NCC(=O)O
594,,C60,NIP,NiOx,AZO,9.92,0.964,13.9,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,[N]=[N]
597,,,,,NH4PF6,,,17.28,1.01,"{'test_name': 'ISOS-T', 'temperature': 40, 'time': 108, 'humidity': 40, 'retained_percentage_cont': 19, 'retained_percentage_tret': 19}",,,,,,,,,,,,,,,,,,,,,,,,,,Ammonium hexafluorophosphate,F[P-](F)(F)(F)(F)F.[NH4+]
604,,,,,iron-porphyrin (FePP),,,21.58,,"{'test_name': 'stability test', 'temperature': 10, 'time': 7100, 'humidity': '10-20% RH', 'retained_percentage_cont': 82.0, 'retained_percentage_tret': 79.6}",,,,,,,,,,,,,,,,,,,,,,,,,,iron(II) porphyrin,C12=CC=C(N1)C=C1C=CC(=N1)C=C1C=CC(N1)=CC=1C=CC(N1)=C2.[Fe+2]
606,CsPbBr3,TiO2,NIP,Carbon,1-ethyl-3-methylimidazoliumiodide,7.16,1.27,9.78,1.4,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 29, 'humidity': 70, 'retained_percentage_cont': 83, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,1-ethyl-3-methylimidazolium iodide,[I-].C(C)N1C=[N+](C=C1)C
607,,,,,formamidinium formate (FAHCOO),,,,,"{'test_name': 'stability_test_1', 'temperature': None, 'time': 450, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,formamidinium formate,C(=O)[O-].C(=[NH2+])N
610,,SnO2,,,Sodium citrate (SC),21.03,1.091,22.04,1.12,"{'test_name': 'Stability test in nitrogen atmosphere', 'temperature': None, 'time': '1500 hours', 'humidity': 'null', 'retained_percentage_cont': 91.3, 'retained_percentage_tret': None}","{'test_name': 'Stability test in ambient environment (RH 45%)', 'temperature': None, 'time': '1 week', 'humidity': '45%', 'retained_percentage_cont': 72.01, 'retained_percentage_tret': 87.02}",,,,,,,,,,,,,,,,,,,,,,,,,Sodium citrate,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-].[Na+].[Na+].[Na+]
611,,,,,Guanidine phosphate,23.16,1.139,24.55,1.181,"{'test_name': 'Stability test under 1000h illumination', 'temperature': 1000, 'time': '1000 hours', 'humidity': '40% humidity', 'retained_percentage_cont': 60, 'retained_percentage_tret': 90}","{'test_name': 'Stability test under 1400h illumination', 'temperature': 1400, 'time': '1400 hours', 'humidity': 'moderate humidity', 'retained_percentage_cont': 40, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,Guanidine phosphate,P(=O)(O)(O)O.NC(=N)N
612,,,,,Hydroxylamine-O-Sulfonic Acid (HOSA),21.53,1.131,23.33,1.179,"{'test_name': 'Thermal stability', 'temperature': 65, 'time': 480, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'Photostability', 'temperature': None, 'time': 650, 'humidity': None, 'retained_percentage_cont': 82, 'retained_percentage_tret': 95}",,,,"{'test_name': 'Long-term storage', 'temperature': None, 'time': 1400, 'humidity': None, 'retained_percentage_cont': 60, 'retained_percentage_tret': 96}",,,,,,,,,,,,,,,,,,,,,Hydroxylamine-O-sulfonic acid,NOS(=O)(=O)O
614,CsPbBr3,,,,CsPbBr3,,,,,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 6000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,cesium lead(III) bromide,[Pb](Br)(Br)Br.[Cs]
618,,,,,Octylphosphonic acid (OPA),,,,,"{'test_name': 'Thermal stability test', 'temperature': 373, 'time': '960 hours', 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,Octylphosphonic acid,C(CCCCCCC)P(O)(O)=O
621,,SnO2,ITO/SnO2/perovskite/Spiro-OMeTAD/Ag,Spiro-OMeTAD,4-(2-carboxyvinyl) benzoic acid,18.26,1.051,20.28,1.082,"{'test_name': 'Stability test under ambient conditions', 'temperature': 25, 'time': 1000, 'humidity': '40-55%', 'retained_percentage_cont': 45, 'retained_percentage_tret': 78}",,,,,,,,,,,,,,,,,,,,,,,,,,4-(2-carboxyvinyl)benzoic acid,C(=O)(O)C=CC1=CC=C(C(=O)O)C=C1
623,,,,,PbI2,,,,,"{'test_name': 'stability test', 'temperature': None, 'time': 62, 'humidity': None, 'retained_percentage_cont': 13.78, 'retained_percentage_tret': 18.61}",,,,,,,,,,,,,,,,,,,,,,,,,,Lead(II) iodide,[Pb](I)I
624,,,,,diethylammonium iodide (DEAI),21.73,1.12,24.26,1.13,"{'test_name': 'air_stability_test', 'temperature': 25, 'time': 1000, 'humidity': 25, 'retained_percentage_cont': 58, 'retained_percentage_tret': 92}","{'test_name': 'operational_stability_test', 'temperature': 25, 'time': 850, 'humidity': None, 'retained_percentage_cont': 67.7, 'retained_percentage_tret': 83.4}",,,,,,,,,,,,,,,,,,,,,,,,,diethylammonium iodide,[I-].C(C)[NH2+]CC
626,Cs2AgBiBr6,TiO2,NIP,Carbon,BMIMPF6,,,,,"{'test_name': 'Stability test', 'temperature': 65, 'time': '4 days', 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 30}","{'test_name': 'Stability test', 'temperature': 85, 'time': '4 days', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 30}",,,,,,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium hexafluorophosphate,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
630,Cs 0.25 MA 0.03 FA 0.72 PbI 2.73 Br 0.27,VNPB,NIP,PC 61 BM,Methylamine (MA),,,,,"{'test_name': 'Air and thermal stability', 'temperature': 80, 'time': 600, 'humidity': 40, 'retained_percentage_cont': 90, 'retained_percentage_tret': 61}",,,,,,,,,,,,,,,,,,,,,,,,,,methylamine,CN
631,PEA 0.15 FA 0.75 MA 0.10 SnI2 Br,PEDOT:PSS,PIN,PCBM,4-Phenylthiosemicarbazide (4PTSC),8.68,0.78,12.22,0.94,"{'test_name': 'Stability test under ambient conditions', 'temperature': 25, 'time': 1200, 'humidity': 30, 'retained_percentage_cont': 20, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,4-phenylthiosemicarbazide,C1(=CC=CC=C1)NC(NN)=S
634,,SnO2,,,SnO2,22.58,1.14,24.16,1.17,"{'test_name': 'Stability test', 'temperature': 30, 'time': 41, 'humidity': 30, 'retained_percentage_cont': 77, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,,Tin(IV) oxide,[Sn](=O)=O
635,,,,,2-(4-(methylsulfonyl) phenyl)ethylamine hydrochloride (MSPE-Cl),22.34,1.17,24.16,1.191,"{'test_name': 'ISOS-L or ISOS-T', 'temperature': 35, 'time': 2000, 'humidity': '35% relative humidity', 'retained_percentage_cont': 67, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,2-(4-(Methylsulfonyl)phenyl)ethylamine hydrochloride,Cl.CS(=O)(=O)C1=CC=C(C=C1)CCN
636,,,,,3-(aminomethyl) piperidinium (3-AMP),0.1,,1.4,,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 3, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,3-(Aminomethyl)piperidinium,NCC1C[NH2+]CCC1
638,,,,,n-hexyl trimethyl ammonium bromide (HTAB),,,,,"{'test_name': 'stability test', 'temperature': 85, 'time': 1500, 'humidity': 85, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}","{'test_name': 'thermal stress test', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,"{'test_name': 'light soaking test', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 87, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,n-hexyltrimethylammonium bromide,[Br-].C(CCCCC)[N+](C)(C)C
641,,,,,Bis(2-oxo-3-oxazolidinyl)phosphinic chloride (BOP-Cl),,,25.0,,"{'test_name': 'MPP tracking', 'temperature': '40-45 °C', 'time': 1200, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,Bis(2-oxo-3-oxazolidinyl)phosphinic chloride,O=C1OCCN1P(=O)(N1C(OCC1)=O)Cl
643,MAPbI3,PC60BM,PIN,NiOx,CuI,17.1,0.99,18.1,1.08,"{'test_name': 'Capacitance-voltage (C-V)', 'temperature': 300, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'DLTS', 'temperature': 100, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,"{'test_name': 'SCLC', 'temperature': 300, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,copper(I) iodide,[Cu]I
648,FAPbI3,TiO2,NIP,Carbon,K2S,17.77,960.0,20.07,1019.0,"{'test_name': 'ISOS-L', 'temperature': 80, 'time': '10 min', 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Potassium sulfide,[S-2].[K+].[K+]
651,FA 0.83 Cs 0.05 MA 0.12 PbI 2.64 Br 0.36,,,,Guanidine iodide (GAI),17.47,1.12,20.56,1.15,"{'test_name': 'Stability test in ambient environment', 'temperature': '25-30 °C', 'time': '14 days', 'humidity': '30-40% RH', 'retained_percentage_cont': 60, 'retained_percentage_tret': 81}","{'test_name': 'Stability test in high-humidity environment', 'temperature': '25-30 °C', 'time': '10 days', 'humidity': '65% RH', 'retained_percentage_cont': 37, 'retained_percentage_tret': 62}",,,,,,,,,,,,,,,,,,,,,,,,,guanidine iodide,[I-].NC(=N)N
652,,,,,5-Aminopyridine-2-Carboxylic Acid (APC),,,,,"{'test_name': 'stability', 'temperature': 25, 'time': 1800, 'humidity': None, 'retained_percentage_cont': 97, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,5-Aminopyridine-2-carboxylic acid,NC=1C=CC(=NC1)C(=O)O
653,,,,,8N8 (octylammonium),,,,,"{'test_name': 'PL quantum yield (PLQY)', 'temperature': None, 'time': '1 month', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 99.7}",,,,,,,,,,,,,,,,,,,,,,,,,,octylammonium,C(CCCCCCC)[NH3+]
657,,,,,Bis(trifluoromethyl) benzo amide (BTFZA),17.06,1.06,19.85,1.1,"{'test_name': 'PCE retention after 600 hours', 'temperature': None, 'time': 600, 'humidity': '40-50%', 'retained_percentage_cont': 70, 'retained_percentage_tret': 86}",,,,,,,,,,,,,,,,,,,,,,,,,,bis(trifluoromethyl)benzoamide,FC(F)(F)C=1C(=C(C(=O)N)C=CC1)C(F)(F)F
659,,,,,2-mercapto-4-methyl-5-thiazoleacetic acid (MMTA),21.17,1.059,23.44,1.165,"{'test_name': 'N2 aging', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 87}","{'test_name': 'Light aging', 'temperature': None, 'time': 1500, 'humidity': None, 'retained_percentage_cont': 60.5, 'retained_percentage_tret': 97}",,,,,,,,,,,,,,,,,,,,,,,,,2-Mercapto-4-methyl-5-thiazoleacetic acid,SC=1SC(=C(N1)C)CC(=O)O
661,CsPbI2Br,ZnO,n-i-p,Spiro-OMeTAD,ZrCl4,14.17,1.21,16.6,1.29,"{'test_name': 'stability', 'temperature': 25, 'time': 1000, 'humidity': '20 ± 5%', 'retained_percentage_cont': 71, 'retained_percentage_tret': 91}","{'test_name': 'thermal', 'temperature': 85, 'time': 500, 'humidity': 'N2 atmosphere', 'retained_percentage_cont': None, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,Zirconium tetrachloride,[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4]
662,CsPbI2Br,SnO2,NIP,Carbon,CsBr,,,9.62,,"{'test_name': 'Stability test', 'temperature': 20, 'time': 21, 'humidity': '25-35%', 'retained_percentage_cont': 81, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,cesium bromide,[Br-].[Cs+]
677,,SnO2,,,DL-cysteine hydrochloride monohydrate (DLCH),21.61,1.154,24.01,1.186,"{'test_name': 'Thermal stability', 'temperature': 65, 'time': 1800, 'humidity': None, 'retained_percentage_cont': 67, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,DL-cysteine hydrochloride monohydrate,O.Cl.NC(CS)C(=O)O
679,,TiO2,n-i-p,spiro-OMeTAD,PbS,22.64,1.177,18.33,,"{'test_name': 'ETL/bulk defects', 'temperature': 60, 'time': '24 hours', 'humidity': 30, 'retained_percentage_cont': 84.55, 'retained_percentage_tret': 84.57}","{'test_name': 'HTL/bulk defects', 'temperature': 60, 'time': '24 hours', 'humidity': 30, 'retained_percentage_cont': 84.57, 'retained_percentage_tret': 84.55}",,,,,,,,,,,,,,,,,,,,,,,,,Lead(II) sulfide,[Pb]=S
680,,SnO2,,,Mn(Ac)2,21.11,1.12,23.36,1.16,"{'test_name': 'Stability test', 'temperature': 25, 'time': 600, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,manganese(II) acetate,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-]
681,,,,,KF,,,,,"{'test_name': 'ISOS-L-1', 'temperature': 25, 'time': 420, 'humidity': 50, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Potassium fluoride,[F-].[K+]
683,CsPbI3-xBrx,TiO2,PIN,Spiro-OMeTAD,2-methoxy-5-trifluoromethylaniline (MFA),19.89,1.211,22.14,1.282,"{'test_name': 'ambient_stability', 'temperature': 30, 'time': 840, 'humidity': 30, 'retained_percentage_cont': 88, 'retained_percentage_tret': 63}","{'test_name': 'photostability', 'temperature': 250, 'time': 250, 'humidity': 0, 'retained_percentage_cont': 23.6, 'retained_percentage_tret': 86.9}",,,,,,,,,,,,,,,,,,,,,,,,,2-methoxy-5-(trifluoromethyl)aniline,COC1=C(N)C=C(C=C1)C(F)(F)F
684,,,,,KF,,,,,"{'test_name': 'Operational stability', 'temperature': 25, 'time': 1540, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 89.13}",,,,,,,,,,,,,,,,,,,,,,,,,,Potassium fluoride,[F-].[K+]
688,,,,,Guanidine hydrochloride (GuHCl),13.1,1.011,18.6,1.056,"{'test_name': 'Stability test', 'temperature': 6, 'time': '6 days', 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,guanidine hydrochloride,Cl.NC(=N)N
692,CsPbI3-xBrx,,,,H3PO4,,,22.8,,"{'test_name': 'half-life_time', 'temperature': None, 'time': 4080, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,phosphoric acid,P(O)(O)(O)=O
697,,,,,Hexylammonium (HA),,,,,"{'test_name': 'bias_stress_test', 'temperature': 500, 'time': '500 s', 'humidity': None, 'retained_percentage_cont': 0.34, 'retained_percentage_tret': 0.34}",,,,,,,,,,,,,,,,,,,,,,,,,,Hexylammonium,C(CCCCC)[NH3+]
701,,,,,DL-Serine Hydrazide Hydrochloride,,,22.22,,"{'test_name': 'Light soaking', 'temperature': 40, 'time': 7000, 'humidity': None, 'retained_percentage_cont': 85.88, 'retained_percentage_tret': None}","{'test_name': 'Humidity storage', 'temperature': 20, 'time': 10, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 63.49}",,,,,,,,,,,,,,,,,,,,,,,,,DL-Serine hydrazide hydrochloride,Cl.NC(CO)C(=O)NN
702,,,,,Thioacetamide,,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,thioacetamide,C(C)(=S)N
705,CsPbI3,TiO2,PIN,Spiro-OMeTAD,3-amino-1-propanesulfonic acid (SA),19.01,1.2,21.86,1.26,"{'test_name': 'Accelerated aging test', 'temperature': 35, 'time': 720, 'humidity': 5, 'retained_percentage_cont': 63.1, 'retained_percentage_tret': 87.1}",,,,,,,,,,,,,,,,,,,,,,,,,,3-Amino-1-propanesulfonic acid,NCCCS(=O)(=O)O
706,CsPbIBr2,CuI,Inverted,,MACl,5.24,0.9,8.25,1.16,"{'test_name': 'MPP stability', 'temperature': 4000, 'time': '4000 s', 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}","{'test_name': 'Long-term storage', 'temperature': 1000, 'time': '1000 hours', 'humidity': None, 'retained_percentage_cont': 69, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,methylammonium chloride,[Cl-].C[NH3+]
711,CsPbI3,TiO2,NIP,spiro-OMeTAD,PbSiO3,18.9,1.17,20.59,1.22,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 600, 'humidity': 5, 'retained_percentage_cont': 92, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,lead(II) silicate,[Si]([O-])([O-])([O-])[O-].[Pb+2].[Pb+2]
726,,,,,F-FAI,26.1,,24.04,,"{'test_name': 'Stability Test', 'temperature': 25, 'time': 1000, 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,formamidinium iodide,[I-].C(=[NH2+])N
