Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator
696,Cs 0.05 FA 0.95 PbI3,C60,PIN,Au,Cs 0.05 FA 0.95 PbI3,,,23.1,1.09,"{'test_name': 'ISOS-D', 'temperature': 60, 'time': 100, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}","{'test_name': 'ISOS-L', 'temperature': 25, 'time': 100, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,
697,,,,,Hexylammonium (HA),,,,,"{'test_name': 'bias_stress_test', 'temperature': 500, 'time': '500 s', 'humidity': None, 'retained_percentage_cont': 0.34, 'retained_percentage_tret': 0.34}",,,,,,,,,,,,,,,,,,,,,,,,,,Hexylammonium
698,,,,,"4-ethenyl-2,6-dimethoxyphenol (canolol, CNL)",,,23.7,0.883,"{'test_name': 'stability', 'temperature': 25, 'time': 750, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 490}",,,,,,,,,,,,,,,,,,,,,,,,,,4-ethenyl-2
699,Cs0.05 FA0.85 MA0.10 PbI0.97 Br0.03,SnO2,NIP,spiro-OMeTAD,SAM-CL (PRMA and F4TCNQ cocrystal),21.11,1.12,24.03,1.21,"{'test_name': 'Stability test in air', 'temperature': 30, 'time': 1800, 'humidity': 75, 'retained_percentage_cont': 85, 'retained_percentage_tret': None}","{'test_name': 'Stability test in N2', 'temperature': 65, 'time': 800, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
700,Cs0.05MA0.15FA0.80PbI3,PCBM,,XS10,XS10,17.19,1.04,20.28,1.09,,,,22.67,81.71,,,,,,,,,,,,,,,,,,,,,,
701,,,,,DL-Serine Hydrazide Hydrochloride,,,22.22,,"{'test_name': 'Light soaking', 'temperature': 40, 'time': 7000, 'humidity': None, 'retained_percentage_cont': 85.88, 'retained_percentage_tret': None}","{'test_name': 'Humidity storage', 'temperature': 20, 'time': 10, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 63.49}",,,,,,,,,,,,,,,,,,,,,,,,,DL-Serine hydrazide hydrochloride
702,,,,,Thioacetamide,,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,thioacetamide
704,Cs0.03(FA0.90MA0.10)0.97PbI3,PANDI,n-i-p,spiro-OMeTAD,"N-(2,5-di-tert-butylphenyl)-N′-(methyl)-1,4,5,8-naphthalene tetracarboxylic diimide phosphonic acid (PANDI)",,,21.5,1.13,"{'test_name': 'Stability test', 'temperature': 65, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 84, 'retained_percentage_tret': 72}",,,,,,,,,,,,,,,,,,,,,,,,,,N-(2
705,CsPbI3,TiO2,PIN,Spiro-OMeTAD,3-amino-1-propanesulfonic acid (SA),19.01,1.2,21.86,1.26,"{'test_name': 'Accelerated aging test', 'temperature': 35, 'time': 720, 'humidity': 5, 'retained_percentage_cont': 63.1, 'retained_percentage_tret': 87.1}",,,,,,,,,,,,,,,,,,,,,,,,,,3-Amino-1-propanesulfonic acid
706,CsPbIBr2,CuI,Inverted,,MACl,5.24,0.9,8.25,1.16,"{'test_name': 'MPP stability', 'temperature': 4000, 'time': '4000 s', 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}","{'test_name': 'Long-term storage', 'temperature': 1000, 'time': '1000 hours', 'humidity': None, 'retained_percentage_cont': 69, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,methylammonium chloride
708,,,,,VNPB,,,22.61,1.17,"{'test_name': None, 'temperature': 20, 'time': 1000, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 76}",,,,,,,,,,,,,,,,,,,,,,,,,,
709,,,,,Se seed layer,,498.3,8.42,498.3,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
711,CsPbI3,TiO2,NIP,spiro-OMeTAD,PbSiO3,18.9,1.17,20.59,1.22,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 600, 'humidity': 5, 'retained_percentage_cont': 92, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,lead(II) silicate
713,CsPbI3,P3CT-N,NIP,PCBM,"1,5-pentanediamine (PDA)",13.43,0.997,19.52,1.151,"{'test_name': 'Water contact angle', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 60.71}","{'test_name': 'Moisture stability', 'temperature': 20, 'time': 672, 'humidity': 35, 'retained_percentage_cont': 30, 'retained_percentage_tret': 80}",,,,"{'test_name': 'Long-term storage', 'temperature': 25, 'time': 1200, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,pentane-1
714,,,,,diphenylamine-polymaleic-anhydride (PP),,,,,"{'test_name': 'EL intensity stability', 'temperature': None, 'time': 2500, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
716,,,,,BPZ23,,,,,"{'test_name': 'stability', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': 86, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,,
717,MAPbI3,SnO2,,P3HT,Hexamine,19.94,1.07,54.22,1.11,"{'test_name': 'Stability', 'temperature': None, 'time': 600, 'humidity': '60-90%', 'retained_percentage_cont': 44.47, 'retained_percentage_tret': 54.22}",,,,,,,,,,,,,,,,,,,,,,,,,,Hexamethylenetetramine
718,,,,,Nylon 11 (N11),21.89,,23.54,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 1000, 'humidity': 30, 'retained_percentage_cont': None, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,PCBM,,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 24, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenyl-C61-butyric acid methyl ester
721,,,,,t-FA,17.33,1.26,19.31,1.3,"{'test_name': 'MPP stability tracking', 'temperature': None, 'time': 3600, 'humidity': None, 'retained_percentage_cont': 77, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,
722,FAPbI3,SnO2,n-i-p,spiro-OMeTAD,CHMAI,22.49,1.16,24.0,1.19,"{'test_name': None, 'temperature': 100, 'time': 10, 'humidity': None, 'retained_percentage_cont': 23.02, 'retained_percentage_tret': 22.29}",,,,,,,,,,,,,,,,,,,,,,,,,,
724,,,,,Bathocuproine (BCP),24.1,1.149,25.64,1.167,"{'test_name': 'General stability test', 'temperature': None, 'time': '1500 h', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': '80%'}",,,,,,,,,,,,,,,,,,,,,,,,,,2
725,,,,,BDA,,,,,"{'test_name': 'Halide Ion Mixing', 'temperature': 120, 'time': 150, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 70}","{'test_name': 'Halide Ion Migration', 'temperature': 140, 'time': 25, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,
726,,,,,F-FAI,26.1,,24.04,,"{'test_name': 'Stability Test', 'temperature': 25, 'time': 1000, 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,formamidinium iodide
727,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,PCBM,NIP,Cu(In0.3Ga0.7)3S5,Cu(In0.3Ga0.7)3S5,15.19,1049.0,26.1,1200.0,"{'test_name': 'T80', 'temperature': 20, 'time': 656, 'humidity': 30, 'retained_percentage_cont': 70, 'retained_percentage_tret': 70}","{'test_name': 'MPP', 'temperature': 55, 'time': 2400, 'humidity': 80, 'retained_percentage_cont': 30, 'retained_percentage_tret': 70}",,,,,,,,,,,,,,,,,,,,,,,,,Copper indium gallium sulfide
729,,,,,PTFE,24.04,1.166,25.49,1.188,"{'test_name': 'stability', 'temperature': 1500, 'time': '1500 hours', 'humidity': 35, 'retained_percentage_cont': 80.4, 'retained_percentage_tret': 92.6}",,,,,,,,,,,,,,,,,,,,,,,,,,Polytetrafluoroethylene
730,,,,,"ammonium polyphosphate, guanabenz acetate salt",,,,,"{'test_name': 'stability test', 'temperature': 35, 'time': 40, 'humidity': 35, 'retained_percentage_cont': 97, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
732,PEA2(MA)3Pb4I13,PCBM,PIN,PEDOT:PSS,PbCl2,10.36,1.025,10.36,1.025,"{'test_name': 'Environmental stability', 'temperature': 25, 'time': 14, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,lead(II) chloride
733,,,,,Pc3,,,,,"{'test_name': 'photostability', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'thermal_stability', 'temperature': 350, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
735,,n-NiOx,,NiOx,Capsaicin (CAP),20.09,1.099,20.48,1.108,"{'test_name': 'ISOS-D', 'temperature': 30, 'time': 1000, 'humidity': 30, 'retained_percentage_cont': 92, 'retained_percentage_tret': 83}",,,,,,,,,,,,,,,,,,,,,,,,,,N-[(4-Hydroxy-3-methoxyphenyl)methyl]-8-methylnonanamide
736,,,,FO-TPA-o-Cl,FO-TPA-o-Cl,,,,,"{'test_name': 'ISOS-LT', 'temperature': 25, 'time': 720, 'humidity': None, 'retained_percentage_cont': 93.8, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
738,(CHA)2PbBr4,,PIN,,"4,4-difluorocyclohexylamine hydrochloride (DFCHA·HCl)",,,,,"{'test_name': 'Air stability test', 'temperature': 25, 'time': None, 'humidity': 20, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
739,,SnO2,,,MgAc2,20.52,,22.02,1.209,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 1250, 'humidity': 30, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium acetate
741,SnI2,PEDOT:PSS,NIP,SnO2,"[6,6]-Phenyl-C61-butyric Acid Methyl Ester (PCBM)",10.25,0.72,12.68,0.73,"{'test_name': 'ISOS-D', 'temperature': 1000, 'time': 1000, 'humidity': 'dry', 'retained_percentage_cont': 75, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,[6
742,MAPbI3,PTAA,NIP,PCBM,DPE,16.94,1.12,19.64,1.12,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 700, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
743,,,,,CH3NH3PbI3 (MAPI),,,,,"{'test_name': None, 'temperature': 25, 'time': 40, 'humidity': '50%-60%', 'retained_percentage_cont': 20, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium lead iodide
744,,,,S04,S04,,,,,"{'test_name': 'Stability Test', 'temperature': 30, 'time': 500, 'humidity': 30, 'retained_percentage_cont': 91, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
746,FAPbI3,ZnO,NIP,TFB,trimethylolpropane triacrylate (TMTA),20.7,,23.6,,"{'test_name': 'Accelerated aging test', 'temperature': None, 'time': '106.1 h', 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Trimethylolpropane triacrylate
747,,NiOx,,P3HT,P3HT,,,20.55,,"{'test_name': 'Stability test', 'temperature': '25 °C', 'time': '24 hours', 'humidity': '30-40%', 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
748,CsPbI3,,,,"4,4'-dipyridyl-N, N'-dioxide (DPDO)",19.1,1.16,21.0,1.22,"{'test_name': 'damp-heat test', 'temperature': 85, 'time': 2000, 'humidity': 85, 'retained_percentage_cont': 20, 'retained_percentage_tret': 95}","{'test_name': 'operational stability', 'temperature': 40, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 99}",,,,,,,,,,,,,,,,,,,,,,,,,4
749,,,,,difluoromethyl phosphonic acid diethyl ester (2F-PAE),20.54,1.087,23.69,1.188,"{'test_name': 'ambient air stability', 'temperature': 25, 'time': 1500, 'humidity': 60, 'retained_percentage_cont': 44, 'retained_percentage_tret': 82}","{'test_name': 'thermal stability', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 54, 'retained_percentage_tret': 81}",,,,,,,,,,,,,,,,,,,,,,,,,Difluoromethyl phosphonic acid diethyl ester
750,FA 0.9 MA 0.06 Cs 0.04 PbI3,NiOx,NIP,C60,PEAI,,,26.1,1.195,"{'test_name': 'MPP tracking', 'temperature': 65, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 94, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
751,,,,,copper sulfide (CuS),,,6.85,0.59,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 66.85, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,copper sulfide
752,CsPbI3,Spiro-OMeTAD,NIP,PCBM,Rhodamine B isothiocyanate (RBITC),20.5,1.19,20.95,1.24,"{'test_name': 'Stability in 25% humidity', 'temperature': 25, 'time': 1000, 'humidity': 25, 'retained_percentage_cont': 90.39, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability in N2', 'temperature': 60, 'time': 500, 'humidity': None, 'retained_percentage_cont': 16.0, 'retained_percentage_tret': 13.98}",,,,"{'test_name': 'Stability under illumination', 'temperature': 25, 'time': 100, 'humidity': 25, 'retained_percentage_cont': 6.4, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,
753,,SnO_x,,Spiro-OMeTAD,4-Acetamidobenzoic acid,19.3,1.08,22.51,1.14,"{'test_name': None, 'temperature': 25, 'time': 3000, 'humidity': 35, 'retained_percentage_cont': 81, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,4-acetamidobenzoic acid
754,,,,,Parylene C,,,,,"{'test_name': 'Stability test', 'temperature': 85, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': 82, 'retained_percentage_tret': None}","{'test_name': 'Stability test', 'temperature': 25, 'time': 196, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,poly(p-xylylene)
755,,,,,ZnS/ZnSe dual passivation layer,,,6.83,665.0,"{'test_name': 'EIS', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'IMVS', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
756,,SnO2 modified with NDI-B,n-i-p,,NDI-B,16.2,1.07,17.48,1.05,"{'test_name': 'Stability test', 'temperature': 350, 'time': '6 hours', 'humidity': 'N/A', 'retained_percentage_cont': 45, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,
757,,,,,Benzyl methacrylate (BMA),22.88,1.141,25.31,1.184,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 1200, 'humidity': 85, 'retained_percentage_cont': 40.4, 'retained_percentage_tret': 85.1}","{'test_name': 'ISOS-L', 'temperature': 25, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 70.0, 'retained_percentage_tret': 89.6}",,,,"{'test_name': 'ISOS-T', 'temperature': 65, 'time': 240, 'humidity': None, 'retained_percentage_cont': 42.1, 'retained_percentage_tret': 90.1}",,,,,,,,,,,,,,,,,,,,,benzyl methacrylate
758,,,,,"propane-1,3-diamine dihydroiodide (PDAI2)",,,25.81,,"{'test_name': None, 'temperature': None, 'time': 600, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Propane-1
759,,,,,"Halide ligands (PbX2, X=I, Br)",,,15.45,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,C10H14O5Ti,16.07,1.096,20.2,1.14,"{'test_name': 'ISOS', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 72, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
761,PEA2SnI4,,,,FPEAI,,,,,"{'test_name': 'XRD', 'temperature': 22, 'time': 75, 'humidity': 50, 'retained_percentage_cont': 60, 'retained_percentage_tret': None}","{'test_name': 'XPS', 'temperature': 22, 'time': 60, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,"{'test_name': 'Contact Angle', 'temperature': 22, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'UV-Vis Absorption', 'temperature': 22, 'time': 75, 'humidity': 50, 'retained_percentage_cont': 50, 'retained_percentage_tret': 60}",,,,,,,,,,,,,,,,,,,,2-(4-fluorophenyl)ethylammonium iodide
763,,,,,pentaerythritol triacrylate (PETA),21.7,1.12,24.9,1.17,"{'test_name': None, 'temperature': None, 'time': 20000, 'humidity': None, 'retained_percentage_cont': 25.0, 'retained_percentage_tret': 92.0}",,,,,,,,,,,,,,,,,,,,,,,,,,Pentaerythritol triacrylate
764,,,,,BCP,12.17,0.84,19.27,1.06,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 800, 'humidity': '10-15%', 'retained_percentage_cont': 52, 'retained_percentage_tret': 78}",,,,,,,,,,,,,,,,,,,,,,,,,,
766,FAPbI3,SnO2,n-i-p,,potassium 2-(N-morpholino)ethanesulfonate (MES-K),24.03,1152.0,25.14,1188.0,"{'test_name': 'Stability under ambient storage', 'temperature': 2000, 'time': '2000 h', 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}","{'test_name': 'Stability under LED illumination', 'temperature': 1000, 'time': '1000 h', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,25.51,0.8300000000000001,,,,,,,,,25.43,0.8200000000000001,,,,,,,,,,,,potassium 2-(morpholino)ethanesulfonate
768,,,,,Bisphenol A diglycidyl ether (DGEBA) and isophorone diamine (IPDA),21.69,1.112,23.87,1.169,"{'test_name': 'Moisture stability test', 'temperature': 70, 'time': 200, 'humidity': '70% RH', 'retained_percentage_cont': 35, 'retained_percentage_tret': 65}",,,,,,,,,,,,,,,,,,,,,,,,,,
771,FAMAPbI3,SnO2,NIP,Spiro-OMeTAD,"3-fluorophenylethylammonium iodide (3F-PEAI), n-octylammonium iodide (OAI)",21.6,,25.55,1.18,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 1100, 'humidity': 20, 'retained_percentage_cont': 90, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,Aluminum Nitride (AlN),20.92,0.876,23.28,0.882,"{'test_name': 'Operational Stability Test', 'temperature': 85, 'time': 600, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 94}","{'test_name': 'MPP Tracking Test', 'temperature': 85, 'time': 400, 'humidity': None, 'retained_percentage_cont': 52, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,Aluminum nitride
773,,,,,PEAI,22.57,1.129,25.4,1.176,"{'test_name': 'stability_test_500h', 'temperature': 25, 'time': 500, 'humidity': None, 'retained_percentage_cont': 73.4, 'retained_percentage_tret': 94.5}","{'test_name': 'stability_test_1000h', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 22.02, 'retained_percentage_tret': 98.7}",,,,"{'test_name': 'stability_test_1700h', 'temperature': 25, 'time': 1700, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
774,PEA 2 (Cs 0.8 FA 0.2 ) n-1 Pb n Br 3n+1,,,,Octyltriphenylphosphonium bromide (OTPPB),,,6.5,,"{'test_name': 'Indoor storage', 'temperature': 25, 'time': 30, 'humidity': None, 'retained_percentage_cont': 96, 'retained_percentage_tret': 96}","{'test_name': 'Thermal stability', 'temperature': 80, 'time': 7, 'humidity': None, 'retained_percentage_cont': 97, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,octyl(triphenyl)phosphonium bromide
775,,,,,D18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,,,,,Benzylphosphonic acid (BPA),,,,,"{'test_name': 'Stability test', 'temperature': 25, 'time': 32, 'humidity': None, 'retained_percentage_cont': 78, 'retained_percentage_tret': 28.9}",,,,,,,,,,,,,,,,,,,,,,,,,,Benzylphosphonic acid
778,,,,,CPEs,,,,,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': '24 hours', 'humidity': '30% RH', 'retained_percentage_cont': 84, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
779,,,,,"p-type ligands (e.g., 4Tm, 4TCNm)",,,,,"{'test_name': 'ISOS-D', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'ISOS-L', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,"{'test_name': 'ISOS-T', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,
781,2D Ruddlesden-Popper perovskite (RPP) with formamidinium-cesium (FAC) alloyed cations,,p-i-n,,2PACz and Me-4PACz,,,18.85,,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': 93.6, 'retained_percentage_tret': 97.3}",,,,,,,,,,,,,,,,,,,,,,,,,,
782,CsPbBr3,,,,Isobutyramide,9.59,1.46,,,"{'test_name': 'ISOS-T', 'temperature': None, 'time': 45, 'humidity': None, 'retained_percentage_cont': 96, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,isobutyramide
783,FA0.8Cs0.2PbI0.6Br0.4,NiO,NIP,PEDOT:PSS,F-PEAI,21.5,0.84,19.4,1.35,"{'test_name': 'ISOS-D', 'temperature': 30, 'time': 500, 'humidity': 'AM 1.5G', 'retained_percentage_cont': 51.1, 'retained_percentage_tret': 92.1}",,,,,,,,,,,,,,,,,,,,,,,,,,
784,,SnO2,n-i-p,,Chlorhexidine acetate,23.41,,21.84,,"{'test_name': 'N/A', 'temperature': 3100, 'time': 'N/A', 'humidity': 'N/A', 'retained_percentage_cont': 89, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,,Chlorhexidine acetate
785,,,,PTAA,T35FP,18.5,1.1,20.69,1.11,"{'test_name': 'stability test', 'temperature': 25, 'time': 500, 'humidity': '30-40%', 'retained_percentage_cont': 38, 'retained_percentage_tret': 62}",,,,,,,,,,,,,,,,,,,,,,,,,,
787,Cs 0.17 FA 0.83 Pb(I 0.83 Br 0.17 ) 3,Spiro-OMeTAD,PIN,"[2-(3,6-dimethoxy-9H-carbazol-9-yl)ethyl]phosphon",PMMA:MX,19.16,1.11,21.3,1.15,"{'test_name': 'ISOS-D-1I', 'temperature': 23, 'time': 3000, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
788,CsPbCl3,,,,Lecithin,,,,,"{'test_name': 'HETCOR', 'temperature': 298, 'time': 10, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,lecithin
789,,,,,Br-EPA,,,25.16,1.2,"{'test_name': 'operation stability', 'temperature': 40, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'storage stability', 'temperature': 25, 'time': 8, 'humidity': '<5%', 'retained_percentage_cont': None, 'retained_percentage_tret': 25.05}",,,,,,,,,,,,,,,,,,,,,,,,,bromoeicosanoic acid
790,,,,,1-naphthylmethylammonium formate (NMACOOH),22.46,1.1,24.75,1.19,"{'test_name': 'stability test', 'temperature': 1800, 'time': '1800 h', 'humidity': '10% humidity', 'retained_percentage_cont': 98, 'retained_percentage_tret': None}","{'test_name': 'operational stability', 'temperature': 658, 'time': '658 h', 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 83}",,,,,,,,,,,,,,,,,,,,,,,,,1-naphthylmethylammonium formate
792,Rb0.05Cs0.05MA0.05FA0.85Pb(I0.95Br0.05)3,NiOx,PIN,MeO-4PACz,TT-COF,23.07,1.162,25.64,1.192,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 978, 'humidity': 'null', 'retained_percentage_cont': 77, 'retained_percentage_tret': 81}","{'test_name': 'Light stability', 'temperature': 25, 'time': 1036, 'humidity': 'null', 'retained_percentage_cont': 79, 'retained_percentage_tret': 89}",,,,"{'test_name': 'Moisture stability', 'temperature': 25, 'time': 1068, 'humidity': 20, 'retained_percentage_cont': 85, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,
793,CsPbBr3,,,,Methanol,6.09,1.18,7.91,1.39,"{'test_name': None, 'temperature': None, 'time': 600, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,methanol
795,,,n-i-p,,NBD-Pyz,,,,,"{'test_name': 'Stability test at 1000 h under dry room conditions', 'temperature': 25, 'time': 1000, 'humidity': 10, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'Stability test at 60°C in air for 600 h', 'temperature': 60, 'time': 600, 'humidity': 25, 'retained_percentage_cont': 88, 'retained_percentage_tret': None}",,,,"{'test_name': 'Stability test at 60%-70% humidity for 500 h', 'temperature': 60, 'time': 500, 'humidity': 60, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,
797,,,,,methylenediammonium dichloride (MDACl2),,,25.28,1.176,"{'test_name': 'Stability test', 'temperature': 25, 'time': 10208, 'humidity': 5, 'retained_percentage_cont': 98, 'retained_percentage_tret': 85.5}",,,,,,,,,,,,,,,,,,,,,,,,,,methylenediammonium dichloride
798,,,,,"benzene-1,3-dithiol (BDT)",,,25.31,1.189,"{'test_name': 'stability test', 'temperature': 25, 'time': 21, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,benzene-1
